(12, 24, 27),(32,),3
(12, 24, 32),(27,),3
(12, 27, 32),(24,),3
(24, 27, 32),(12,),3
(16, 34, 42),(45,),3
(16, 34, 45),(42,),3
(16, 42, 45),(34,),3
(34, 42, 45),(16,),3
(17, 32, 33),(34,),3
(17, 32, 34),(33,),3
(17, 33, 34),(32,),3
(32, 33, 34),(17,),3
(2, 4, 31),(34,),3
(2, 4, 34),(31,),3
(2, 31, 34),(4,),3
(4, 31, 34),(2,),3
(14, 22, 35),(39,),3
(14, 22, 39),(35,),3
(14, 35, 39),(22,),3
(22, 35, 39),(14,),3
(11, 26, 29),(44,),3
(11, 26, 44),(29,),3
(11, 29, 44),(26,),3
(26, 29, 44),(11,),3
(1, 8, 18),(29,),3
(1, 8, 29),(18,),3
(1, 18, 29),(8,),3
(8, 18, 29),(1,),3
(4, 20, 26),(35,),3
(4, 20, 35),(26,),3
(4, 26, 35),(20,),3
(20, 26, 35),(4,),3
(3, 13, 33),(37,),3
(3, 13, 37),(33,),3
(3, 33, 37),(13,),3
(13, 33, 37),(3,),3
(11, 21, 27),(31,),2
(11, 21, 31),(27,),2
(11, 27, 31),(21,),2
(21, 27, 31),(11,),2
(14, 27, 30),(40,),2
(14, 27, 30),(31,),2
(14, 27, 31),(40,),2
(14, 27, 31),(30,),2
(14, 27, 40),(42,),2
(14, 27, 40),(30,),2
(14, 27, 40),(31,),2
(14, 27, 42),(40,),2
(14, 30, 31),(40,),2
(14, 30, 31),(27,),2
(14, 30, 40),(27,),2
(14, 30, 40),(31,),2
(14, 31, 40),(27,),2
(14, 31, 40),(30,),2
(14, 40, 42),(27,),2
(27, 30, 31),(40,),2
(27, 30, 31),(14,),2
(27, 30, 40),(14,),2
(27, 30, 40),(31,),2
(27, 31, 40),(14,),2
(27, 31, 40),(30,),2
(27, 40, 42),(14,),2
(30, 31, 40),(27,),2
(30, 31, 40),(14,),2
(15, 26, 27),(42,),2
(15, 26, 42),(27,),2
(15, 27, 42),(26,),2
(26, 27, 42),(15,),2
(8, 19, 25),(34,),2
(8, 19, 34),(25,),2
(8, 19, 34),(39,),2
(8, 19, 39),(34,),2
(8, 25, 34),(19,),2
(8, 34, 39),(19,),2
(19, 25, 34),(8,),2
(19, 34, 39),(8,),2
(2, 16, 17),(39,),2
(2, 16, 39),(17,),2
(2, 17, 39),(16,),2
(16, 17, 39),(2,),2
(1, 7, 37),(42,),2
(1, 7, 42),(37,),2
(1, 37, 42),(7,),2
(7, 37, 42),(1,),2
(11, 21, 39),(45,),2
(11, 21, 45),(39,),2
(11, 39, 45),(21,),2
(21, 39, 45),(11,),2
(22, 23, 25),(37,),2
(22, 23, 37),(25,),2
(22, 25, 37),(23,),2
(23, 25, 37),(22,),2
(23, 25, 38),(42,),2
(23, 25, 42),(38,),2
(23, 38, 42),(25,),2
(25, 38, 42),(23,),2
(2, 12, 33),(40,),2
(2, 12, 40),(33,),2
(2, 33, 40),(12,),2
(12, 33, 40),(2,),2
(6, 7, 38),(40,),2
(6, 7, 40),(38,),2
(6, 38, 40),(7,),2
(7, 24, 37),(40,),2
(7, 24, 40),(37,),2
(7, 37, 38),(40,),2
(7, 37, 40),(24,),2
(7, 37, 40),(38,),2
(7, 38, 40),(37,),2
(7, 38, 40),(6,),2
(24, 37, 40),(7,),2
(37, 38, 40),(7,),2
(14, 18, 20),(23,),2
(14, 18, 23),(20,),2
(14, 20, 23),(18,),2
(18, 20, 23),(14,),2
(6, 12, 17),(32,),2
(6, 12, 18),(31,),2
(6, 12, 31),(18,),2
(6, 12, 32),(17,),2
(6, 17, 32),(12,),2
(6, 18, 31),(32,),2
(6, 18, 31),(12,),2
(6, 18, 32),(31,),2
(6, 31, 32),(18,),2
(12, 17, 32),(6,),2
(12, 18, 31),(6,),2
(17, 18, 31),(32,),2
(17, 18, 32),(31,),2
(17, 31, 32),(18,),2
(18, 31, 32),(17,),2
(18, 31, 32),(6,),2
(5, 13, 18),(42,),2
(5, 13, 42),(18,),2
(5, 18, 42),(13,),2
(13, 18, 42),(5,),2
(5, 7, 20),(25,),2
(5, 7, 25),(20,),2
(5, 20, 25),(7,),2
(7, 20, 25),(5,),2
(9, 18, 23),(35,),2
(9, 18, 35),(23,),2
(9, 23, 35),(18,),2
(18, 23, 35),(9,),2
(1, 5, 13),(34,),2
(1, 5, 34),(13,),2
(1, 13, 34),(5,),2
(5, 13, 34),(1,),2
(8, 17, 35),(36,),2
(8, 17, 36),(35,),2
(8, 35, 36),(17,),2
(17, 20, 35),(36,),2
(17, 20, 35),(44,),2
(17, 20, 36),(35,),2
(17, 20, 44),(35,),2
