(14, 27, 30),(31, 40),2
(14, 27, 31),(30, 40),2
(14, 27, 40),(30, 31),2
(14, 30, 31),(27, 40),2
(14, 30, 40),(27, 31),2
(14, 31, 40),(27, 30),2
(27, 30, 31),(14, 40),2
(27, 30, 40),(14, 31),2
(27, 31, 40),(14, 30),2
(30, 31, 40),(14, 27),2
(14, 15, 18),(21, 26),2
(14, 15, 21),(18, 26),2
(14, 15, 26),(18, 21),2
(14, 18, 21),(15, 26),2
(14, 18, 26),(15, 21),2
(14, 21, 26),(15, 18),2
(15, 18, 21),(14, 26),2
(15, 18, 26),(14, 21),2
(15, 21, 26),(14, 18),2
(18, 21, 26),(14, 15),2
(10, 22, 34),(36, 44),2
(10, 22, 36),(34, 44),2
(10, 22, 44),(34, 36),2
(10, 34, 36),(22, 44),2
(10, 34, 44),(22, 36),2
(10, 36, 44),(22, 34),2
(22, 34, 36),(10, 44),2
(22, 34, 44),(10, 36),2
(22, 36, 44),(10, 34),2
(34, 36, 44),(10, 22),2
(15, 19, 21),(34, 44),2
(15, 19, 34),(21, 44),2
(15, 19, 44),(21, 34),2
(15, 21, 34),(19, 44),2
(15, 21, 44),(19, 34),2
(15, 34, 44),(19, 21),2
(19, 21, 34),(15, 44),2
(19, 21, 44),(15, 34),2
(19, 34, 44),(15, 21),2
(21, 34, 44),(15, 19),2
(16, 26, 31),(36, 43),2
(16, 26, 36),(31, 43),2
(16, 26, 43),(31, 36),2
(16, 31, 36),(26, 43),2
(16, 31, 43),(26, 36),2
(16, 36, 43),(26, 31),2
(26, 31, 36),(16, 43),2
(26, 31, 43),(16, 36),2
(26, 36, 43),(16, 31),2
(31, 36, 43),(16, 26),2
(11, 17, 21),(26, 36),2
(11, 17, 26),(21, 36),2
(11, 17, 36),(21, 26),2
(11, 21, 26),(17, 36),2
(11, 21, 36),(17, 26),2
(11, 26, 36),(17, 21),2
(17, 21, 26),(11, 36),2
(17, 21, 36),(11, 26),2
(17, 26, 36),(11, 21),2
(21, 26, 36),(11, 17),2
(10, 23, 29),(33, 40),1
(10, 23, 29),(37, 40),1
(10, 23, 29),(33, 37),1
(10, 23, 33),(29, 40),1
(10, 23, 33),(37, 40),1
(10, 23, 33),(29, 37),1
(10, 23, 37),(33, 40),1
(10, 23, 37),(29, 40),1
(10, 23, 37),(29, 33),1
(10, 23, 40),(29, 33),1
(10, 23, 40),(33, 37),1
(10, 23, 40),(29, 37),1
(10, 29, 33),(37, 40),1
(10, 29, 33),(23, 40),1
(10, 29, 33),(23, 37),1
(10, 29, 37),(33, 40),1
(10, 29, 37),(23, 40),1
(10, 29, 37),(23, 33),1
(10, 29, 40),(33, 37),1
(10, 29, 40),(23, 33),1
(10, 29, 40),(23, 37),1
(10, 33, 37),(29, 40),1
(10, 33, 37),(23, 40),1
(10, 33, 37),(23, 29),1
(10, 33, 40),(29, 37),1
(10, 33, 40),(23, 29),1
(10, 33, 40),(23, 37),1
(10, 37, 40),(29, 33),1
(10, 37, 40),(23, 33),1
(10, 37, 40),(23, 29),1
(23, 29, 33),(10, 40),1
(23, 29, 33),(37, 40),1
(23, 29, 33),(10, 37),1
(23, 29, 37),(33, 40),1
(23, 29, 37),(10, 40),1
(23, 29, 37),(10, 33),1
(23, 29, 40),(10, 33),1
(23, 29, 40),(33, 37),1
(23, 29, 40),(10, 37),1
(23, 33, 37),(10, 40),1
(23, 33, 37),(29, 40),1
(23, 33, 37),(10, 29),1
(23, 33, 40),(10, 29),1
(23, 33, 40),(10, 37),1
(23, 33, 40),(29, 37),1
(23, 37, 40),(10, 33),1
(23, 37, 40),(29, 33),1
(23, 37, 40),(10, 29),1
(29, 33, 37),(10, 40),1
(29, 33, 37),(23, 40),1
(29, 33, 37),(10, 23),1
(29, 33, 40),(10, 37),1
(29, 33, 40),(10, 23),1
(29, 33, 40),(23, 37),1
(29, 37, 40),(10, 33),1
(29, 37, 40),(23, 33),1
(29, 37, 40),(10, 23),1
(33, 37, 40),(10, 29),1
(33, 37, 40),(10, 23),1
(33, 37, 40),(23, 29),1
(9, 13, 21),(25, 32),1
(9, 13, 21),(32, 42),1
(9, 13, 21),(25, 42),1
(9, 13, 25),(32, 42),1
(9, 13, 25),(21, 32),1
(9, 13, 25),(21, 42),1
(9, 13, 32),(25, 42),1
(9, 13, 32),(21, 25),1
(9, 13, 32),(21, 42),1
(9, 13, 42),(25, 32),1
(9, 13, 42),(21, 32),1
(9, 13, 42),(21, 25),1
(9, 21, 25),(32, 42),1
(9, 21, 25),(13, 32),1
(9, 21, 25),(13, 42),1
(9, 21, 32),(25, 42),1
(9, 21, 32),(13, 25),1
(9, 21, 32),(13, 42),1
(9, 21, 42),(25, 32),1
(9, 21, 42),(13, 32),1
(9, 21, 42),(13, 25),1
(9, 25, 32),(21, 42),1
(9, 25, 32),(13, 42),1
(9, 25, 32),(13, 21),1
(9, 25, 42),(21, 32),1
(9, 25, 42),(13, 32),1
(9, 25, 42),(13, 21),1
(9, 32, 42),(21, 25),1
(9, 32, 42),(13, 25),1
(9, 32, 42),(13, 21),1
(13, 21, 25),(9, 32),1
(13, 21, 25),(32, 42),1
(13, 21, 25),(9, 42),1
(13, 21, 32),(9, 42),1
(13, 21, 32),(9, 25),1
(13, 21, 32),(25, 42),1
(13, 21, 42),(9, 32),1
(13, 21, 42),(25, 32),1
(13, 21, 42),(9, 25),1
(13, 25, 32),(9, 42),1
(13, 25, 32),(9, 21),1
(13, 25, 32),(21, 42),1
(13, 25, 42),(9, 32),1
(13, 25, 42),(21, 32),1
(13, 25, 42),(9, 21),1
(13, 32, 42),(9, 21),1
(13, 32, 42),(9, 25),1
