(33,),(40,),22
(40,),(33,),22
(11,),(21,),21
(21,),(11,),21
(27,),(40,),21
(40,),(27,),21
(8,),(39,),21
(39,),(8,),21
(20,),(35,),21
(35,),(20,),21
(3,),(20,),21
(20,),(3,),21
(31,),(34,),21
(34,),(31,),21
(7,),(20,),20
(20,),(7,),20
(11,),(26,),20
(26,),(11,),20
(5,),(27,),20
(27,),(5,),20
(37,),(40,),19
(40,),(37,),19
(31,),(40,),19
(40,),(31,),19
(22,),(37,),19
(37,),(22,),19
(7,),(40,),19
(40,),(7,),19
(17,),(31,),19
(31,),(17,),19
(8,),(27,),19
(27,),(8,),19
(4,),(20,),19
(5,),(20,),19
(7,),(18,),19
(18,),(7,),19
(20,),(4,),19
(20,),(5,),19
(1,),(34,),19
(5,),(34,),19
(34,),(1,),19
(34,),(5,),19
(34,),(44,),19
(44,),(34,),19
(24,),(27,),19
(27,),(24,),19
(15,),(34,),19
(34,),(15,),19
(16,),(41,),18
(41,),(16,),18
(14,),(15,),18
(15,),(14,),18
(1,),(42,),18
(42,),(1,),18
(1,),(28,),18
(28,),(1,),18
(17,),(20,),18
(20,),(17,),18
(4,),(40,),18
(40,),(4,),18
(35,),(40,),18
(40,),(35,),18
(27,),(35,),18
(35,),(27,),18
(20,),(33,),18
(33,),(20,),18
(12,),(15,),18
(15,),(12,),18
(14,),(39,),18
(39,),(14,),18
(10,),(31,),18
(31,),(10,),18
(12,),(24,),18
(24,),(12,),18
(13,),(37,),18
(37,),(13,),18
(10,),(40,),17
(29,),(33,),17
(33,),(29,),17
(40,),(10,),17
(26,),(27,),17
(27,),(26,),17
(2,),(25,),17
(25,),(2,),17
(19,),(34,),17
(19,),(25,),17
(25,),(19,),17
(34,),(19,),17
(11,),(39,),17
(39,),(11,),17
(18,),(23,),17
(23,),(18,),17
(18,),(31,),17
(31,),(18,),17
(13,),(33,),17
(33,),(13,),17
(26,),(43,),17
(43,),(26,),17
(1,),(20,),17
(20,),(1,),17
(37,),(43,),17
(43,),(37,),17
(4,),(33,),17
(33,),(4,),17
(11,),(37,),17
(37,),(11,),17
(8,),(13,),17
(13,),(8,),17
(17,),(45,),17
(45,),(17,),17
(1,),(8,),17
(8,),(1,),17
(29,),(44,),17
(44,),(29,),17
(19,),(43,),17
(43,),(19,),17
(14,),(21,),17
(21,),(14,),17
(3,),(24,),17
(24,),(3,),17
(5,),(14,),17
(14,),(5,),17
(2,),(34,),17
(34,),(2,),17
(1,),(3,),17
(3,),(1,),17
(1,),(2,),17
(2,),(1,),17
(37,),(45,),17
(45,),(37,),17
(4,),(34,),17
(34,),(4,),17
(1,),(17,),17
(17,),(1,),17
(4,),(10,),17
(10,),(4,),17
(6,),(28,),17
(28,),(6,),17
(21,),(34,),17
(34,),(21,),17
(10,),(37,),16
(37,),(10,),16
(14,),(30,),16
(30,),(14,),16
(2,),(17,),16
(17,),(2,),16
(17,),(36,),16
(36,),(39,),16
(36,),(17,),16
(39,),(36,),16
(33,),(41,),16
(41,),(33,),16
(37,),(38,),16
(38,),(37,),16
(6,),(38,),16
(38,),(6,),16
(3,),(32,),16
(32,),(3,),16
(20,),(23,),16
(23,),(20,),16
(27,),(43,),16
(43,),(27,),16
(4,),(26,),16
(26,),(4,),16
(1,),(40,),16
(40,),(1,),16
(7,),(33,),16
(33,),(7,),16
(1,),(10,),16
(10,),(1,),16
(28,),(40,),16
(40,),(28,),16
(33,),(35,),16
(35,),(33,),16
(7,),(15,),16
(15,),(7,),16
(18,),(26,),16
(26,),(18,),16
(18,),(21,),16
(21,),(18,),16
(30,),(45,),16
(45,),(30,),16
(4,),(19,),16
(19,),(4,),16
(2,),(15,),16
(10,),(44,),16
(15,),(2,),16
(44,),(10,),16
(14,),(32,),16
(32,),(14,),16
(41,),(45,),16
(45,),(41,),16
(2,),(8,),16
(8,),(2,),16
(25,),(36,),16
(36,),(25,),16
(3,),(27,),16
(27,),(3,),16
(4,),(27,),16
(27,),(4,),16
(10,),(19,),16
(19,),(10,),16
(34,),(45,),16
(45,),(34,),16
(18,),(34,),16
(34,),(18,),16
(8,),(18,),16
(18,),(8,),16
(33,),(37,),15
(37,),(33,),15
(27,),(31,),15
(31,),(27,),15
(14,),(31,),15
(27,),(42,),15
(31,),(14,),15
(42,),(27,),15
(16,),(29,),15
(29,),(16,),15
(40,),(41,),15
(41,),(40,),15
(14,),(26,),15
(15,),(26,),15
(26,),(40,),15
(26,),(14,),15
(26,),(15,),15
(40,),(26,),15
(4,),(16,),15
(4,),(17,),15
(16,),(4,),15
(17,),(4,),15
(17,),(39,),15
(39,),(17,),15
(41,),(44,),15
(44,),(41,),15
(1,),(37,),15
(37,),(1,),15
(6,),(40,),15
(12,),(40,),15
(40,),(6,),15
(40,),(12,),15
(3,),(37,),15
(37,),(3,),15
(38,),(40,),15
(40,),(38,),15
(12,),(32,),15
(32,),(12,),15
(30,),(38,),15
(38,),(30,),15
(18,),(32,),15
(32,),(18,),15
(4,),(5,),15
(5,),(4,),15
(5,),(6,),15
(6,),(5,),15
(8,),(17,),15
(17,),(8,),15
(5,),(13,),15
(13,),(5,),15
(8,),(36,),15
(29,),(43,),15
(36,),(8,),15
(43,),(29,),15
(4,),(25,),15
(25,),(4,),15
(20,),(26,),15
(26,),(20,),15
(1,),(5,),15
(5,),(1,),15
(20,),(44,),15
(44,),(20,),15
(3,),(11,),15
(11,),(3,),15
(6,),(13,),15
(13,),(6,),15
(15,),(21,),15
(21,),(15,),15
(13,),(20,),15
(20,),(13,),15
(35,),(43,),15
(43,),(35,),15
(31,),(44,),15
(44,),(31,),15
(8,),(38,),15
(38,),(8,),15
(11,),(44,),15
(44,),(11,),15
(24,),(33,),15
(24,),(44,),15
(33,),(24,),15
(44,),(24,),15
(33,),(36,),15
(36,),(33,),15
(5,),(11,),15
(11,),(5,),15
(11,),(13,),15
(13,),(11,),15
(3,),(14,),15
(14,),(3,),15
(42,),(45,),15
(45,),(42,),15
(20,),(24,),15
(24,),(20,),15
(1,),(29,),15
(29,),(1,),15
(8,),(45,),15
(45,),(8,),15
(23,),(44,),15
